timestamp,avg_update_ms,max_update_ms,fps_ms,players,zombies_loaded,zombies_simulated,loaded_cells,heap_used_mb,resend_buffer_bytes,recv_packets_total,sent_packets_total
2026-07-13_17-38-07,2.0,199.0,59.0,20.0,1660.0,0.0,184.0,38092.0,1866.0,204189,1157251
2026-07-13_17-38-21,5.0,122.0,122.0,20.0,1661.0,0.0,177.0,38939.0,795.0,206112,1167488
2026-07-13_17-38-36,2.0,208.0,64.0,20.0,1689.0,0.0,179.0,39921.0,3967.0,208282,1179553
2026-07-13_17-38-50,9.0,204.0,204.0,20.0,1707.0,0.0,179.0,40831.0,1158.0,210459,1191964
2026-07-13_17-39-04,3.0,138.0,73.0,20.0,1811.0,0.0,188.0,41915.0,26374.0,212729,1205400
2026-07-13_17-39-19,3.0,181.0,72.0,20.0,1768.0,0.0,180.0,42830.0,26167.0,215244,1219816
2026-07-13_17-39-33,6.0,283.0,137.0,20.0,1606.0,0.0,177.0,43773.0,0.0,217752,1235074
2026-07-13_17-39-48,8.0,172.0,172.0,20.0,1618.0,0.0,172.0,44700.0,35680.0,220362,1247226
2026-07-13_17-40-02,9.0,374.0,186.0,20.0,1658.0,0.0,175.0,45533.0,52.0,222975,1259988
2026-07-13_17-40-16,10.0,224.0,210.0,20.0,1580.0,0.0,177.0,46481.0,18601.0,225915,1272685
2026-07-13_17-40-31,27.0,560.0,560.0,20.0,2474.0,0.0,174.0,47622.0,42790.0,228930,1292507
2026-07-13_17-40-45,4.0,321.0,97.0,20.0,4168.0,0.0,172.0,48827.0,17959.0,231892,1307032
2026-07-13_17-41-00,4.0,211.0,103.0,20.0,4145.0,0.0,175.0,7952.0,13917.0,234667,1319033
2026-07-13_17-41-15,107.0,2140.0,2140.0,20.0,3950.0,0.0,174.0,8965.0,10656.0,237565,1332114
2026-07-13_17-41-29,4.0,209.0,90.0,20.0,4206.0,0.0,183.0,10208.0,36371.0,240439,1347448
2026-07-13_17-41-44,8.0,177.0,177.0,20.0,4025.0,0.0,187.0,11488.0,6936.0,243129,1360715
2026-07-13_17-41-58,13.0,284.0,284.0,20.0,4003.0,0.0,183.0,12576.0,5559.0,245488,1372210
2026-07-13_17-42-13,4.0,367.0,93.0,20.0,4106.0,0.0,178.0,13847.0,17215.0,247993,1384020
2026-07-13_17-42-28,10.0,240.0,218.0,20.0,2926.0,0.0,176.0,15076.0,40638.0,250221,1398061
2026-07-13_17-42-43,28.0,573.0,573.0,20.0,1447.0,0.0,171.0,16464.0,4475.0,252613,1412022
2026-07-13_17-42-57,8.0,250.0,174.0,20.0,2186.0,0.0,174.0,17922.0,37348.0,254846,1428884
2026-07-13_17-43-12,45.0,922.0,922.0,20.0,1785.0,0.0,158.0,18926.0,4646.0,257057,1446492
2026-07-13_17-43-27,11.0,447.0,249.0,20.0,1791.0,0.0,154.0,19929.0,7376.0,259295,1462038
2026-07-13_17-43-42,11.0,224.0,224.0,20.0,1543.0,0.0,159.0,21223.0,5456.0,261838,1478344
2026-07-13_17-43-57,7.0,173.0,148.0,20.0,1714.0,0.0,167.0,22370.0,4232.0,264352,1492674
2026-07-13_17-44-12,5.0,113.0,104.0,20.0,1745.0,0.0,170.0,23303.0,12778.0,266943,1503635
2026-07-13_17-44-26,3.0,233.0,84.0,20.0,1744.0,0.0,169.0,24142.0,10343.0,269113,1515377
2026-07-13_17-44-41,5.0,111.0,105.0,20.0,1805.0,0.0,166.0,25044.0,21132.0,271799,1525801
2026-07-13_17-44-56,4.0,109.0,97.0,20.0,1624.0,0.0,152.0,25820.0,7072.0,274604,1536758
2026-07-13_17-45-11,4.0,208.0,100.0,20.0,1729.0,0.0,156.0,26833.0,27503.0,277384,1550339
2026-07-13_17-45-25,14.0,290.0,290.0,20.0,1894.0,0.0,157.0,27850.0,8837.0,280055,1563867
2026-07-13_17-45-40,18.0,381.0,381.0,20.0,2060.0,0.0,164.0,28978.0,9157.0,283251,1576662
2026-07-13_17-45-55,4.0,197.0,84.0,20.0,2147.0,0.0,160.0,29987.0,4179.0,286547,1589825
2026-07-13_17-46-10,4.0,105.0,98.0,20.0,2229.0,0.0,165.0,31067.0,3627.0,289493,1601517
2026-07-13_17-46-25,5.0,133.0,124.0,20.0,2307.0,0.0,174.0,32231.0,4823.0,292428,1614547
2026-07-13_17-46-40,4.0,116.0,97.0,20.0,1844.0,0.0,173.0,33369.0,4940.0,295294,1630594
2026-07-13_17-46-55,10.0,217.0,217.0,20.0,2033.0,0.0,173.0,34565.0,6958.0,298420,1645321
2026-07-13_17-47-09,4.0,201.0,99.0,20.0,2084.0,0.0,178.0,35651.0,5873.0,301534,1660423
2026-07-13_17-47-24,9.0,236.0,202.0,20.0,2235.0,0.0,179.0,36819.0,6037.0,304659,1676036
2026-07-13_17-47-39,5.0,119.0,108.0,20.0,2113.0,0.0,172.0,37968.0,18412.0,307636,1692504
2026-07-13_17-47-54,4.0,217.0,98.0,20.0,2080.0,0.0,168.0,38981.0,1040.0,310784,1706369
2026-07-13_17-48-09,4.0,105.0,98.0,20.0,2046.0,0.0,168.0,40038.0,17206.0,313961,1718865
2026-07-13_17-48-24,4.0,199.0,96.0,20.0,2259.0,0.0,171.0,41072.0,816.0,317096,1731981
2026-07-13_17-48-38,5.0,129.0,106.0,20.0,2237.0,0.0,168.0,42008.0,3750.0,320083,1743385
2026-07-13_17-48-53,10.0,223.0,217.0,20.0,1952.0,0.0,169.0,43054.0,14603.0,323155,1760056
2026-07-13_17-49-08,6.0,128.0,128.0,19.0,1778.0,0.0,168.0,44031.0,8686.0,326141,1777024
2026-07-13_17-49-23,5.0,122.0,108.0,19.0,1471.0,0.0,167.0,45006.0,750.0,329023,1790854
2026-07-13_17-49-38,5.0,183.0,105.0,19.0,1574.0,0.0,173.0,46045.0,37334.0,331811,1803248
2026-07-13_17-49-53,4.0,107.0,104.0,19.0,1572.0,0.0,176.0,47041.0,4731.0,334851,1814395
2026-07-13_17-50-08,4.0,114.0,102.0,19.0,1540.0,0.0,173.0,8208.0,4648.0,337615,1825055
2026-07-13_17-50-23,8.0,205.0,179.0,19.0,1475.0,0.0,179.0,9013.0,11817.0,340554,1835534
2026-07-13_17-50-37,10.0,217.0,217.0,19.0,1541.0,0.0,191.0,10034.0,18552.0,343419,1846223
2026-07-13_17-50-52,4.0,172.0,91.0,19.0,1576.0,0.0,198.0,11188.0,2974.0,345859,1856343
